name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Bethany Lutheran College,Mankato,MN,3,2,,,,,,,,,,,,0.8317,26.0,1070.0,1070.0,0.0721,0.0,0.0,0.0811,0.009000000000000001,0.0,0.0,0.009000000000000001,0.0541,0.0,0.0721,0.0,0.1351,0.1892,0.009000000000000001,,,,,,,,,0.005,0.1007,0.8399,0.0248,0.0182,0.0033,0.0083,,,,,,,,0.066,,,,,,,,,,,,,17760.0,17760.0,,8519.0,8600.0,5147.0,0.6129,,0.6623,,0.8095238095238,,,,,,,,0.8333,0.6667,,0.0475,0.03,
Bethel University,Saint Paul,MN,3,2,,,,,,,,,,,,0.8811,28.0,1147.0,1147.0,0.1084,0.0026,0.0,0.0013,0.0587,0.0038,0.0191,0.0523,0.0242,0.0281,0.0421,0.0,0.0383,0.2589,0.0128,,,,,,,,,0.0006,0.0364,0.8855,0.0307,0.0277,0.0033,0.0158,,,,,,,,0.2364,,,,,,,,,,,,,24510.0,24510.0,,13591.0,8196.0,6536.0,0.5342,,0.7628,,0.55778894472361,,,,,,,,,,,0.1611,0.005,
Bethel Seminary-St Paul,Saint Paul,MN,4,2,,,,,,,,,,,,,,,1147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5892.0,5273.0,5840.0,0.3091,,,,,,,,,,,,,,,,0.005,
Central Lakes College-Brainerd,Brainerd,MN,2,1,,,,,,,,,,,,,,,,0.0056,0.0042,0.0,0.3051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,0.0466,0.0,,,,,,,,,0.0037,0.0037,0.9425,0.012,0.0099,0.0199,0.0083,,,,,,,,0.3027,,,,,,,,,,,,,4713.0,4713.0,,2927.0,4760.0,6299.0,0.6324,,,0.4003,0.68459152016546,,,,,,,,,,,0.2635,0.053,
Carleton College,Northfield,MN,3,2,,,,,,,,,,,,0.3005,33.0,1392.0,1392.0,0.0,0.0,0.0,0.0021,0.1052,0.0408,0.0408,0.0,0.1502,0.0,0.2597,0.0,0.0815,0.0,0.0687,,,,,,,,,0.0574,0.0,0.7341,0.0483,0.0992,0.006,0.0549,,,,,,,,0.0,,,,,,,,,,,,,36156.0,36156.0,,22811.0,21503.0,8993.0,0.986,,0.9264,,0.97884615384615,,,,,,,,0.9375,,,0.002,0.003,
Concordia College at Moorhead,Moorhead,MN,3,2,,,,,,,,,,,,0.855,27.0,1132.0,1132.0,0.1667,0.0,0.0,0.0018,0.0895,0.0175,0.0105,0.0,0.0281,0.0228,0.0702,0.0,0.0772,0.1,0.0246,,,,,,,,,0.0349,0.0121,0.9191,0.0055,0.0154,0.0029,0.0099,,,,,,,,0.0004,,,,,,,,,,,,,22350.0,22350.0,,13023.0,8491.0,6037.0,0.7396,,0.6926,,0.9495990836196999,,,,,,,,0.6585,0.5833,,0.02,0.002,
Concordia University-Saint Paul,Saint Paul,MN,3,2,,,,,,,,,,,,0.5711,24.0,995.0,995.0,0.0645,0.0,0.0,0.0441,0.0068,0.0051,0.0,0.0441,0.0,0.0051,0.0017,0.0,0.017,0.5246,0.0034,,,,,,,,,0.0056,0.1643,0.6594,0.0924,0.0599,0.0049,0.0134,,,,,,,,0.0783,,,,,,,,,,,,,23496.0,23496.0,,14454.0,5275.0,4380.0,0.284,,0.445,,0.44078947368421,,,,,,,,,0.2727,,0.4124,0.011000000000000001,
Dakota County Technical College,Rosemount,MN,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.0819,0.1317,0.0,,,,,,,,,0.0097,0.0275,0.8196,0.0766,0.0356,0.0085,0.0224,,,,,,,,0.3785,,,,,,,,,,,,,4749.0,8994.0,,4596.0,5512.0,6455.0,0.4211,,,0.4081,0.45178764897074,,,,,,,,,,,0.4434,0.036000000000000004,
Martin Luther College,New Ulm,MN,3,2,,,,,,,,,,,,0.9658,27.0,1125.0,1125.0,0.6683,0.0,0.0,0.0,0.0,0.0,0.0,0.3317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0094,0.004,0.9772,0.0027,0.0013,0.0,0.0054,,,,,,,,0.0724,,,,,,,,,,,,,9850.0,9850.0,,8947.0,6810.0,4676.0,0.9375,,0.6836,,0.8994974874371799,,,,,,,,0.5,,,0.0822,0.008,
Lake Superior College,Duluth,MN,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0119,0.1668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485,0.0,0.0969,0.0,,,,,,,,,0.0009,0.0316,0.904,0.0167,0.0158,0.0258,0.0053,,,,,,,,0.3697,,,,,,,,,,,,,4156.0,7744.0,,3303.0,4598.0,6294.0,0.3494,,,0.1903,0.4631217838765,,,,,,,,,,,0.318,0.068,
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,1,3,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0175,0.0,0.8772,0.0175,0.0175,0.0526,0.0175,,,,,,,,0.0,,,,,,,,,,,,,,,9400.0,5227.0,1900.0,,,,,0.6,1.0,,,,,,,,,,,0.2807,0.027999999999999997,
Duluth Business University,Duluth,MN,2,3,,,,,,,,,,,,0.7086,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0617,0.0988,0.0,,,,,,,,,0.0,0.0411,0.8596,0.0308,0.0068,0.0411,0.0205,,,,,,,,0.2671,,,,,,,,,,,,,16744.0,16744.0,,7360.0,5599.0,2678.0,0.375,,,0.4884,0.7787610619469001,,,,,,,,,,,0.5304,0.08199999999999999,
Minnesota State Community and Technical College,Fergus Falls,MN,2,1,,,,,,,,,,,,,,,,0.0313,0.0,0.0084,0.1239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277,0.0176,0.1177,0.0,,,,,,,,,0.0002,0.0361,0.8875,0.0289,0.012,0.0213,0.0139,,,,,,,,0.3167,,,,,,,,,,,,,5034.0,5034.0,,2969.0,4734.0,5934.0,0.5072,,,0.3923,0.52896995708154,,,,,,,,,,,0.27399999999999997,0.054000000000000006,
Globe University-Woodbury,Woodbury,MN,2,3,,,,,,,,,,,,0.5907,,,,0.0,0.0,0.0841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2522,0.0,,,,,,,,,0.0013,0.0727,0.7351,0.0714,0.0753,0.0078,0.0364,,,,,,,,0.7065,,,,,,,,,,,,,13320.0,13320.0,,14373.0,2740.0,3522.0,0.2963,,0.5952,,0.16260162601626002,,,,,,,,,,,0.5025,0.040999999999999995,
Minnesota West Community and Technical College,Granite Falls,MN,1,1,,,,,,,,,,,,,,,,0.009000000000000001,0.0,0.0,0.0884,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0902,0.0,0.0406,0.0,,,,,,,,,0.0032,0.024,0.8848,0.0336,0.0154,0.0104,0.0286,,,,,,,,0.3779,,,,,,,,,,,,,4694.0,4694.0,,3140.0,5231.0,6070.0,0.4067,,,0.4466,0.62203626220362,,,,,,,,,,,0.4234,0.037000000000000005,
Gustavus Adolphus College,Saint Peter,MN,3,2,,,,,,,,,,,,0.7136,29.0,1260.0,1260.0,0.0778,0.0,0.0,0.0,0.0821,0.0187,0.0303,0.0,0.0634,0.0,0.1758,0.0,0.0504,0.1354,0.0447,,,,,,,,,0.0105,0.0117,0.8897,0.019,0.0485,0.0023,0.0183,,,,,,,,0.0019,,,,,,,,,,,,,28515.0,28515.0,,13263.0,9321.0,6318.0,0.7659,,0.8569,,0.9409282700421899,,,,,,,,0.6471,,,0.0057,0.003,
Hamline University,Saint Paul,MN,3,2,,,,,,,,,,,,0.778,27.0,1113.0,1113.0,0.0,0.0,0.0606,0.0,0.0629,0.0163,0.027999999999999997,0.0,0.0233,0.0,0.2424,0.0,0.0373,0.1072,0.0186,,,,,,,,,0.0326,0.0924,0.7461,0.0457,0.054000000000000006,0.0054,0.0238,,,,,,,,0.0423,,,,,,,,,,,,,26614.0,26614.0,,12857.0,6605.0,6948.0,0.375,,0.6866,,0.7471264367816,,,,,,,,0.6364,0.0,,0.081,0.006,
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,1,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.2308,0.0,0.7692,0.0,0.0,0.0,0.0,,,,,,,,0.4615,,,,,,,,,,,,,,,,656.0,3011.0,7644.0,1.0,,,,,,,,,,,,,,,0.9231,,
Hennepin Technical College,Brooklyn Park,MN,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0442,0.0329,0.102,0.0,,,,,,,,,0.0088,0.0747,0.6619,0.1446,0.0761,0.0086,0.0252,,,,,,,,0.5788,,,,,,,,,,,,,4193.0,4193.0,,3557.0,5607.0,6040.0,0.5318,,,0.3824,0.31191709844559,,,,,,,,,,,0.5133,0.053,
Cosmetology Careers Unlimited College of Hair Skin and Nails,Hibbing,MN,1,3,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,8350.0,5062.0,1069.0,,,,,0.7143,1.0,,,,,,,,,,,0.225,0.0,
